4.13668e+07	5.7909e+10	0	1
1.08209e+11	-3.02617e+07	0	2
-2.57373e+07	-1.49598e+11	0	3
-2.27939e+11	2.08505e+07	0	4
1.12818e+07	7.78567e+11	0	5
1.43354e+12	-8.31421e+06	0	6
-5.87089e+06	-2.87503e+12	0	7
-4.50439e+12	4.69037e+06	0	8
4.09603e+06	5.90642e+12	0	9
5.73312e+10	8.16139e+09	0	1
9.17035e+10	-5.74421e+10	0	2
-5.0489e+10	-1.4082e+11	0	3
-2.24131e+11	4.14895e+10	0	4
2.25717e+10	7.7824e+11	0	5
1.43344e+12	-1.66363e+10	0	6
-1.17476e+10	-2.87501e+12	0	7
-4.50438e+12	9.38543e+09	0	8
8.19615e+09	5.90642e+12	0	9
1.61995e+10	-5.55966e+10	0	1
4.72496e+10	-9.73468e+10	0	2
-9.50332e+10	-1.15533e+11	0	3
-2.12842e+11	8.15739e+10	0	4
4.51132e+10	7.77259e+11	0	5
1.43315e+12	-3.3262e+10	0	6
-2.34892e+10	-2.87494e+12	0	7
-4.50435e+12	1.87661e+10	0	8
1.63882e+10	5.9064e+12	0	9
-5.27415e+10	-2.39078e+10	0	1
-1.16048e+10	-1.07582e+11	0	2
-1.28436e+11	-7.67015e+10	0	3
-1.94449e+11	1.18936e+11	0	4
6.76168e+10	7.75625e+11	0	5
1.43267e+12	-4.98832e+10	0	6
-3.52303e+10	-2.87482e+12	0	7
-4.5043e+12	2.81467e+10	0	8
2.45802e+10	5.90637e+12	0	9
-3.11328e+10	4.88265e+10	0	1
-6.6922e+10	-8.5026e+10	0	2
-1.46781e+11	-2.88772e+10	0	3
-1.69566e+11	1.5233e+11	0	4
9.00636e+10	7.7334e+11	0	5
1.43199e+12	-6.64975e+10	0	6
-4.69709e+10	-2.87465e+12	0	7
-4.50424e+12	3.75272e+10	0	8
3.27722e+10	5.90633e+12	0	9
4.39272e+10	3.7736e+10	0	1
-1.0184e+11	-3.65528e+10	0	2
-1.47918e+11	2.23332e+10	0	3
-1.39023e+11	1.8064e+11	0	4
1.12435e+11	7.70406e+11	0	5
1.43112e+12	-8.31029e+10	0	6
-5.87106e+10	-2.87443e+12	0	7
-4.50415e+12	4.69076e+10	0	8
4.09641e+10	5.90628e+12	0	9
4.35815e+10	-3.81354e+10	0	1
-1.05715e+11	2.30634e+10	0	2
-1.31713e+11	7.09256e+10	0	3
-1.03839e+11	2.02921e+11	0	4
1.34712e+11	7.66824e+11	0	5
1.43006e+12	-9.9697e+10	0	6
-7.04494e+10	-2.87417e+12	0	7
-4.50404e+12	5.62877e+10	0	8
4.91559e+10	5.90622e+12	0	9
-3.15757e+10	-4.85399e+10	0	1
-7.73639e+10	7.56502e+10	0	2
-1.00065e+11	1.11203e+11	0	3
-6.51897e+10	2.18432e+11	0	4
1.56876e+11	7.62598e+11	0	5
1.42881e+12	-1.16278e+11	0	6
-8.2187e+10	-2.87386e+12	0	7
-4.50391e+12	6.56676e+10	0	8
5.73476e+10	5.90614e+12	0	9
-5.25159e+10	2.43921e+10	0	1
-2.5432e+10	1.0518e+11	0	2
-5.66853e+10	1.38444e+11	0	3
-2.43644e+10	2.26654e+11	0	4
1.78908e+11	7.57732e+11	0	5
1.42736e+12	-1.32842e+11	0	6
-9.39232e+10	-2.8735e+12	0	7
-4.50377e+12	7.50472e+10	0	8
6.55392e+10	5.90606e+12	0	9
1.67169e+10	5.54445e+10	0	1
3.42509e+10	1.02657e+11	0	2
-6.66005e+09	1.49456e+11	0	3
1.72743e+10	2.27314e+11	0	4
2.0079e+11	7.5223e+11	0	5
